_id,createdAt,direction,entry,exit,startIndex,startDate,stop,ticker,totalDays
iJ43XZGXnhQrNSFdr,1429456652358,up,59.66,62.75,90,1345507200,0,TIF,7
25yGNmGriaeFea3MH,1429457001653,up,53.95,56.10,90,1206489600,49.98,TAP,32
sdpc4SJv6ELCYunh9,1429463766324,up,94.59,93.98,90,1061424000,92.19,DIA,25
D8aqBoK6eQZJC3bvm,1429463894305,up,18.29,19.44,90,1265328000,17.49,NDAQ,18
aYaANkXFtaRoNFMom,1429463941693,up,20.63,22.26,118,1268870400,19.5,NDAQ,25
aKRLcmXSgd3DThKYo,1429464006262,down,18.58,19.44,169,1275350400,19.5,NDAQ,10
rvyb8jtDdbaediqvm,1429464170292,up,68.25,66.86,93,1156723200,67,LH,8
Kh3ktWu2cELJqpKrY,1429464225378,up,94.13,88,90,1149206400,88,TXT,5
SqX6mEmcN5EHyZouA,1429464245910,down,86.73,90.00,100,1150416000,89,TXT,10
SmJebZ5hC9uEF2kdM,1429464300229,up,91.35,93.68,146,1421798400,90,SYK,7
r8uTDWHjLi2XNj5aX,1429464355616,up,93.96,93,167,1424390400,93,SYK,8
2LJDfYMgQoYcsQRAg,1429464387447,up,53.57,53.04,90,1362614400,52,VMC,9
cFzLqKHrWr7b7sF2P,1429464421530,down,50.89,50.24,104,1364342400,53,VMC,3
oNaaey9gNZmWY2qYG,1429464451533,down,49.63,50.66,113,1365552000,50.66,VMC,2
ufXTHEoij8DNLYb4J,1429464471222,down,47.36,49,125,1366934400,49,VMC,3
yw4pWHt8JmACxBYn3,1429464545266,up,16.65,15.88,92,1256256000,15.88,BAC,2
raX442RTaEwe89Y9j,1429464570619,up,15.85,15.89,104,1257811200,14,BAC,19
LNP5EysX9Yp64Cjq5,1429464649872,up,78.31,79.41,92,1179792000,75,APD,13
3FGtTwX6ZtMJa2oof,1429464678673,up,80.80,88.50,120,1183334400,79,APD,14
aKE4DBrYSF4fzTuck,1429464733979,up,41.59999,39.99,105,1149206400,39.99,RSG,8
kukDwrLJk2g5dY2rg,1429464755784,up,39.41,38.5,123,1151452800,38.5,RSG,12
FHK4CzECeQwvYkFQ8,1429464805168,down,73.58,73.13,91,1411689600,78,KORS,17
LFaaHckdFjmBkm8rX,1429464842721,down,75.55,77.52,110,1414022400,77.52,KORS,4
qdLdwBPTkAovsHaDE,1429464886880,down,72.00,74.92,90,1130371200,74.92,TXT,9
YpLzct6rSyGi7kHRh,1429464927362,up,77.35,77.38,109,1132704000,75.98,TXT,16
eEttdLj9xGbRisHfD,1429464950576,up,77.27,77.50,129,1135209600,0,TXT,7
gLf7JTwe9jR3mDG9n,1429465007020,down,58.80,61,92,1001376000,61,GCI,8
4XQmDEs3QbyeEasAj,1429465035446,down,67.50,70,137,1006905600,70,GCI,6
fRC7Yt44LNxHr3hrc,1429465111828,up,41.20,40,95,1281398400,40,BHI,2
pCvR8cmXzYLJyktJh,1429465129172,up,40.48,38.6,100,1282003200,38.6,BHI,4
5SSe3hu57hpoLZ4uT,1429465153549,up,40.52,41.06,124,1285027200,38.7,BHI,4
8FQTxJ5qbQ88HyBas,1429465166475,up,40.58,42.60,130,1285718400,39.7,BHI,2
Q82tA5468ivEhPNQe,1429465228779,up,31.12,32.63,97,1342396800,29.75,CBS,9
xMJcKxEtD4msf2ZRn,1429465259522,up,35.92,35.5,133,1346803200,35.5,CBS,1
aYobvb6h6sxnfo2qs,1429465305119,down,41.08,41.18,90,1301616000,42,HPQ,4
GAX6GbH7eeunYgvqL,1429465320725,down,40.71,40.71,96,1302480000,0,HPQ,1
dHDS4yBBqDB5pjCp9,1429465335342,down,40.68,40.53,97,1302566400,42,HPQ,12
NaaBoYPmBPZv7ccPe,1429465384183,down,36.58,35.96,132,1306972800,37.92,HPQ,3
4ZJ2fytuFroiHcPf6,1429465535479,down,29.46,29.82,90,1229644800,36,EQR,8
gMmjzsH388twrqWXK,1429465560406,down,24.99,26.5,114,1233014400,26.5,EQR,2
YNpY4w9pZtzu2GSzq,1429465590912,down,46.68,49.52,90,1326412800,49.52,ESV,2
eWEbzLH9xFxomhMkn,1429465606228,up,51.22,54.61,96,1327363200,50,ESV,30
5HpeK5HjfF2RZppAT,1429465717127,down,32.59,30.57,90,1026086400,34.03,JPM,4
MxYaknCi33pqtKbhJ,1429465744538,down,24.80,26.5,107,1028073600,26.5,JPM,8
8iYaLmAMNtPLLo42Y,1429465775857,down,24.63,20.1,132,1031184000,27.44,JPM,33
Y67pMaF8xhGP96taM,1429465913703,down,30.73,35,90,1199836800,35,AIV,9
AxvDRZDaGSvKGApzJ,1429465931616,down,33.75,35.55,99,1201046400,35.55,AIV,1
Bx5HHbMbwpoojZWL4,1429465964314,down,36.29,38.02,116,1203033600,38.02,AIV,23
niQ65svYd8HXDvv5g,1429468175617,up,39.00,39.70,94,1048204800,37.5,COH,3
PqipkkqtWaDMATZ3d,1429468209298,up,38.28,37,112,1050451200,37,COH,1
nW8bXz4R46jSJTfSP,1429468239555,up,35.59,36.70,90,1294704000,33.5,DOW,50
ohQ7DbW6icbaNQEJh,1429468301823,down,19.67,19.63,90,1082419200,33.519,POM,3
N52rDga7WdC4f48DM,1429468319283,down,19.58,19.22,95,1083024000,19.77,POM,3
z2SkMh6ua3LwZRzMu,1429468341532,down,18.50,18.39,119,1086048000,18.77,POM,17
r3egZnQAT3pL5RTpi,1429468378097,up,18.85,18.48,152,1090281600,18.48,POM,2
AJKf6Mv46Wya463cz,1429468424319,down,74.72,76.15,93,1150761600,78,LLL,21
wDxJ5Ejz9LjFYA86w,1429468490394,down,21.92,22.26,92,1032825600,22.26,COL,2
eBtAPZ9xbQ2vYmNZ4,1429468511941,down,21.80,21.36,101,1033948800,23,COL,9
YphEzSnCEz8oRxdtP,1429468544367,up,57.50,54,96,973468800,54,ZION,6
8vT7PzGEMteoSMdt2,1429468562497,up,51.73438,57.75,107,974764800,50,ZION,40
8R8pwWfHDJMhZk8hF,1429468618825,up,56.0625,54,157,981331200,54,ZION,13
Tcz8uXsmmZs6k9iRp,1429468672880,up,67.58,66,90,1346371200,66,NEE,4
NH9X5XbjmAF5ebFte,1429468689555,up,68.00,67.5,96,1347321600,67.5,NEE,2
tRS8h9qmtLMA7HzYp,1429468707839,down,67.40,68.77,101,1347926400,68.77,NEE,5
BCdrwzGqcDpsayEg8,1429468732962,up,67.71,67,144,1353369600,67,NEE,1
gwTGSzRR7rZHtw6hw,1429468744471,up,67.45,67.96,146,1353628800,66.25,NEE,2
7bdhkFua7nTDkBbjH,1429468757995,up,68.11,68.87,151,1354233600,66.25,NEE,19
htmLBLdoLGnfgyqQD,1429468840538,down,48.24997,48.07996,90,1037059200,50.11,COP,12
yku68ixs7SC8bdP8g,1429468874137,down,49.79996,49.60995,109,1039478400,50.77,COP,5
D3evFrrXcyPvEoE4W,1429468935285,up,47.79997,47.25,130,1042156800,47.25,COP,1
LuCNvQXJXDtJbgu5m,1429468951959,up,47.74997,47.54998,133,1042588800,46.44,COP,6
bALDAPdFfybjLwfWg,1429469020946,up,80.63,80.67,91,1392940800,79.48,STZ,7
bs8eFGzTCqAZQEZek,1429469080985,up,82.07,81.49,106,1394755200,80.98,STZ,4
fRPeCREgud8fJShoS,1429469117979,up,85.40,83.46,118,1396310400,83.46,STZ,5
kvutNqjXRwYhsAKss,1429469164272,down,30.48,32.55,90,1340841600,32.55,TEL,5
q2r26QKTCWyPTWwpd,1429469218326,down,44.20,46.55,90,1047427200,46.55,EMR,2
397dZJNMGY5XmWRAQ,1429469282660,up,205.34,202.22,95,1396310400,199.98,ACT,4
dDRvtL966wYe92u2f,1429469331916,up,197.39,198.07001,106,1397606400,181,ACT,7
94rhq7qdfwWsim9ig,1429469362090,down,19.21,19.25,90,1383868800,19.66,POM,5
4x4TdTokxraCWWGRo,1429469446005,down,18.64,18.88,114,1386892800,18.88,POM,4
2DiCNDwudrDLeGnmW,1429469499597,up,14.60,15.40,105,1048809600,14,WYNN,2
fgfsWEqtBdEiiqMeh,1429469660631,down,179.5625,182,93,959817600,182,JNPR,1
ahNCRPFWgHKrizNJJ,1429469699247,up,25.03,24.48,90,1337212800,24.48,NI,2
GW7nkEDA6c5Z8Ap7h,1429469712193,up,24.84,24.33,93,1337644800,24.33,NI,22
MwHFkkrNnApXzD9cX,1429469776492,down,21.49,23.33,91,1248998400,23.33,GME,3
dATaQzxeWb8ZyYuDz,1429469791060,up,24.15,23,98,1249948800,23,GME,10
DeXLLGPQhJ6kevju8,1429469842915,up,77.00,86.81,93,1196121600,74,JEC,5
